Esomus metallicus
Esox aquitanicus
Esox lucius
Etheostoma blennioides
Etheostoma caeruleum
Etheostoma chlorosomum
Etheostoma flabellare
Etheostoma fonticola
Etheostoma pottsii
Etheostoma radiosum
Etheostoma spectabile
Etheostoma zonale
Etroplus canarensis
Eugnathogobius siamensis
Eumicrotremus pacificus
Eviota guttata
Eviota nigriventris
Eviota pellucida
Eviota prasina
Eviota prasites
Eviota rubriceps
Eviota sebreei
Exallias brevis
Exochochromis anagenys
Exodon paradoxus
Fistularia commersonii
Fluviphylax palikur
Fossorochromis rostratus
Fusigobius signipinnis
Gasterosteus aculeatus
Genyochromis mento
Glyptothorax anamalaiensis
Glyptothorax major
Gnathanodon speciosus
Gnathochromis permaxillaris
Gobio gobio
Gobioides broussonnetii
Gobioides peruanus
Gomphosus varius
Gorgasia preclara
Gracila albomarginata
Grammistes sexlineatus
Gunnellichthys curiosus
Gymnocephalus cernua
Gymnochanda filamentosa
Gymnomuraena zebra
Gyrinocheilus aymonieri
Gyrinocheilus pennocki
Halicampus dunckeri
Halicampus spinirostris
Hara jerdoni
Hara spinulus
Hasemania nana
Hassar orestis
Helcogramma rhinoceros
Helcogramma striata
Helicolenus dactylopterus
Hemigymnus fasciatus
Hemigymnus melapterus
Hemiodus Argenteus
Hemiodus  semitaeniatus
Hemitaurichthys zoster
Heterandria formosa
Heterocharax macrolepis
Heteroconger hassi
Heteropneustes fossilis
Himantura astra
Himantura imbricata
Himantura polylepis
Hippichthys spicifer
Hisonotus leucofrenatus
Hisonotus notatus
Hologymnosus doliatus
Hologymnosus rhodonotus
Hopliancistrus tricornis
Hoplocharax goethei
Hyalobagrus ornatus
Hydrolycus scomberoides
Hypergastromyzon abditus
Hypergastromyzon humilis
Hypoclinemus mentalis
Hypomesus transpacificus
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Hypophthalmus marginatus
Hypseleotris compressa
Hypseleotris cyprinoides
Hypselobarbus thomassi
Hypsolebias picturatus
Hypsophrys nematopus
Hypsophrys nicaraguensis
Ictalurus pricei
Ictalurus punctatus
Iguanodectes adujai
Iniistius pavo
Iniistius pentadactylus
Iranocichla hormuzensis
Iskandaria kuschakewitschi
Istiblennius lineatus
Istigobius decoratus
Istigobius rigilius
Jordanella floridae
Kiunga ballochi
Konia eisentrauti
Koumansetta hectori
Krobia itanyi
Kryptolebias marmoratus
Labeo chrysophekadion
Labeo cyclorhynchus
Labeobarbus acutirostris
Labracinus cyclophthalmus
Labrichthys unilineatus
Labropsis alleni
Labropsis manabei
Labropsis xanthonota
Labrus bergylta
Laemolyta taeniata
Lagocephalus sceleratus
Lampetra fluviatilis
Lates calcarifer
Lates niloticus
Latimeria chalumnae
Latimeria menadoensis
Laubuca laubuca
Leiarius marmoratus
Leiarius pictus
Lepidosiren paradoxa
Lepidozygus tapeinosoma
Lepisosteus platostomus
Lepthoplosternum altamazonicum
Lepthoplosternum stellatum
Lepthoplosternum tordilho
Lepthoplosternum ucamara
Leptobarbus hoevenii
Leptojulis cyanopleura
Lethrinops macrochir
Leuciscus aspius
Leuciscus leuciscus
Lichnochromis acuticeps
Limnochromis  auritus
Liopropoma collettei
Liopropoma mitratum
Liopropoma multilineatum
Liopropoma susumi
Liopropoma swalesi
Liosomadoras oncinus
Lophodiodon calori
Lubbockichthys multisquamatus
Lucania goodei
Luciocephalus aura
Luciocephalus pulcher
Lutjanus decussatus
Lutjanus erythropterus
Lutjanus gibbus
Lutjanus malabaricus
Lutjanus monostigma
Lutjanus quinquelineatus
Lutjanus rufolineatus
Lutjanus sebae
Luvarus imperialis
Lycengraulis limnichthys
Macolor macularis
Macolor niger
Macroramphosus scolopax
Mahidolia mystacina
Malacanthus brevirostris
Malacanthus latovittatus
Malpulutta kretseri
Marosatherina ladigesi
